"Longitude","Latitude","Admin","Year","disease"
-145.2486143,-15.42280112,"0",1960,"dengue"
2.6370411,48.8499198,"1",2023,"dengue"
11.690976,45.7623333,"1",2020,"dengue"
4.4904519,45.5126545,"1",2023,"dengue"
9.5035435,45.309699,"1",2023,"dengue"
6.48408230240029,44.952398019338,"1",2019,"dengue"
1.2891036,44.0126679,"1",2022,"dengue"
4.1513764,43.9446996,"1",2015,"dengue"
7.179026,43.9466791,"1",2010,"dengue"
3.2583626,43.5912356,"1",2018,"dengue"
5.3102505,43.5911679,"1",2013,"dengue"
6.2375947,43.467646,"1",2014,"dengue"
1.135302,43.4010462,"1",2022,"dengue"
0.1494988,43.0193924,"1",2022,"dengue"
16.888644,42.9297182,"1",2010,"dengue"
2.539603,42.6012912,"1",2022,"dengue"
9.0128926,42.0396042,"1",2022,"dengue"
12.7135121,41.9214534,"1",2023,"dengue"
1.5208624,41.5911589,"1",2018,"dengue"
13.0817903,41.4087476,"1",2023,"dengue"
44.947392,40.286201,"0",2019,"dengue"
1.4821482,39.0200099,"1",2022,"dengue"
1.402270143,38.98703752,"1",2022,"dengue"
-1.366216,38.1398141,"1",2018,"dengue"
138.91748,37.52343,"1",2016,"dengue"
-5.8987139,36.6361857,"1",2018,"dengue"
139.77264,35.71413,"-999",2014,"dengue"
139.80139,35.71068,"-999",2014,"dengue"
139.69168,35.68953,"-999",2014,"dengue"
139.71005,35.68518,"-999",2014,"dengue"
139.65324,35.64657,"2",2014,"dengue"
139.70482,35.64084,"-999",2014,"dengue"
139.72469,35.66354,"-999",2014,"dengue"
72,35.5,"2",2016,"dengue"
72.179726,35.378334,"-999",2008,"dengue"
73.22923,35.325,"2",2013,"dengue"
72.03544965,35.28135489,"2",2011,"dengue"
72.42581,35.22271,"-999",2014,"dengue"
72.46456364,35.24919471,"2",2011,"dengue"
72.70247,35.01281,"-999",2013,"dengue"
71.85335,34.85194,"2",2013,"dengue"
72.73120928,34.84891622,"2",2011,"dengue"
72.36265,34.7795,"-999",2013,"dengue"
73.1216385,34.79148495,"2",2011,"dengue"
113.75322,34.7657099,"1",2019,"dengue"
72.74258,34.74634,"-999",2015,"dengue"
73.36669029,34.64959926,"2",2011,"dengue"
73.464699,34.64827,"-999",2010,"dengue"
71.928276,34.61377,"2",2016,"dengue"
69.321983,34.554092,"1",2004,"dengue"
72,34.5,"1",2017,"dengue"
72.502373,34.45993,"-999",2011,"dengue"
73.470558,34.373611,"-999",2010,"dengue"
72.09636477,34.31490093,"2",2011,"dengue"
73.199997,34.333332,"2",2016,"dengue"
71.71780442,34.24476844,"2",2011,"dengue"
72.04583,34.198334,"-999",2011,"dengue"
73.235779,34.202778,"-999",2010,"dengue"
72.45735064,34.13582018,"2",2011,"dengue"
73.216393,34.146667,"-999",2010,"dengue"
73.26421756,34.10458393,"2",2011,"dengue"
71.380074,34.001518,"2",2018,"dengue"
71.573334,34.007778,"-999",2011,"dengue"
72.89282531,34.00582951,"2",2011,"dengue"
72.937012,34.001172,"-999",2009,"dengue"
113.994102,34.016201,"1",2016,"dengue"
71,34,"-999",2010,"dengue"
71.5712973,33.97007072,"2",2011,"dengue"
72.93409,33.999969,"2",2016,"dengue"
71.04690692,33.94212634,"2",2011,"dengue"
71.98535206,33.92750382,"2",2011,"dengue"
76.666672,33.916672,"2",2019,"dengue"
72.91328,33.8583,"-999",2009,"dengue"
72.907615,33.802144,"-999",2009,"dengue"
72.799441,33.736965,"-999",2011,"dengue"
73.06055,33.71815,"-999",2013,"dengue"
73.066719,33.675671,"-999",2011,"dengue"
73.11991689,33.67209755,"2",2008,"dengue"
73.057602,33.640099,"-999",2010,"dengue"
73.15979,33.66038,"-999",2013,"dengue"
73.066666,33.599998,"-999",2008,"dengue"
72.2226,33.577,"-999",2008,"dengue"
72.2556,33.5546,"-999",2008,"dengue"
72.3071937,33.49206647,"2",2011,"dengue"
73.19705912,33.46492709,"2",2007,"dengue"
71.53888186,33.45759917,"2",2011,"dengue"
72.0205,33.432,"-999",2008,"dengue"
72.333336,33.416668,"-999",2008,"dengue"
71.10916141,33.13871717,"2",2011,"dengue"
76.992104,33.008598,"2",2015,"dengue"
70.65699492,32.92164456,"2",2011,"dengue"
72.866669,32.933331,"-999",2010,"dengue"
73.726372,32.933128,"2",2016,"dengue"
72.53213969,32.89982043,"2",2011,"dengue"
73.29374815,32.83030099,"2",2011,"dengue"
-17,32.73333,"-999",2012,"dengue"
74.86667,32.73333,"-999",2013,"dengue"
-114.77656,32.67424,"-999",2014,"dengue"
-16.98048868,32.6977482,"2",2012,"dengue"
-115.56471,32.63298,"-999",2015,"dengue"
-115.46833,32.65194,"-999",2014,"dengue"
-16.835537,32.651704,"-999",2012,"dengue"
71.53172904,32.66534707,"2",2011,"dengue"
70.83432938,32.6004117,"2",2011,"dengue"
70.91142,32.60795,"-999",2013,"dengue"
-116.63333,32.56667,"-999",2014,"dengue"
75.12494,32.56113,"-999",2013,"dengue"
75.5,32.583,"2",2013,"dengue"
-117.01667,32.53333,"-999",2014,"dengue"
45.819019,32.514702,"1",2017,"dengue"
-114.77667,32.46306,"-999",2014,"dengue"
-114.77186,32.45612,"-999",2014,"dengue"
73.45214401,32.43589995,"2",2011,"dengue"
74.53325663,32.41158693,"2",2011,"dengue"
35.282501,32.287102,"0",2017,"dengue"
75.65,32.28333,"-999",2012,"dengue"
72.85639,32.23,"-999",2014,"dengue"
72.1050414,32.19038417,"2",2011,"dengue"
74.99481178,32.20665708,"2",2011,"dengue"
76.25,32.166668,"2",2018,"dengue"
74.08948336,32.13999669,"2",2010,"dengue"
72.74125251,32.09610036,"2",2011,"dengue"
74.88333,32.1,"-999",2013,"dengue"
73.50339404,32.02675345,"2",2011,"dengue"
75.27,31.92,"2",2012,"dengue"
72.63046,31.88157,"-999",2013,"dengue"
